company,business_linkedin_url 
Covea,https://www.linkedin.com/company/groupecovea/people/
James River Group,https://www.linkedin.com/company/james-river-group/people/
Economical,https://www.linkedin.com/company/economical-insurance/people/
Kentucky Farm Bureau,https://www.linkedin.com/company/kentucky-farm-bureau/people/
RSA,https://www.linkedin.com/company/rsa/people/
Mountain West Farm Bureau,https://www.linkedin.com/company/mountain-west-farm-bureau-mutual-insurance-company/people/
Church Mutual,https://www.linkedin.com/company/church-mutual/people/
Buckle Insurance,https://www.linkedin.com/company/buckledup/people/
Aviva Canada,https://www.linkedin.com/company/aviva-canada/people/ 
Texas Mutual Insurance,https://www.linkedin.com/company/texas-mutual-insurance-company/people/
Wawanesa Mutual Insurance,https://www.linkedin.com/company/wawanesa-insurance/people/ 
Germania,https://www.linkedin.com/company/germania-insurance/people/ 
La Capitale,https://www.linkedin.com/company/la-capitale/people/ 
Western National,https://www.linkedin.com/company/western-national-insurance/people/
CSAA Insurance Group,https://www.linkedin.com/company/csaa-insurance-group/people/ 
MAPFRE North America,https://www.linkedin.com/company/mapfre/people/
Vaudoise Assurances,https://www.linkedin.com/company/vaudoise-assurances/people/ 
Colonnade Insurance,https://www.linkedin.com/company/colonnade-insurance-s.a./people/ 
Aviva Italy,https://www.linkedin.com/company/aviva-plc/people/ 
CFM Insurance,https://www.linkedin.com/company/cfm-insurance-inc/people/
Tuscarora Wayne,https://www.linkedin.com/company/tuscarora-wayne-group-of-companies/people/
British Columbia Auto Association,https://www.linkedin.com/company/bcaa/people/ 
USAA,https://www.linkedin.com/company/usaa/people/
Warrior Invictus Holding,https://www.linkedin.com/company/warrior-invictus-holding-company-inc/people/ 
Sasria SOC,https://www.linkedin.com/company/sasria-soc-limited/people/ 
AXA Hong Kong,https://www.linkedin.com/company/axahongkong/people/ 
National Farmers Union Mutual,https://www.linkedin.com/company/nfu-mutual/people/ 
State Compensation Insurance Fund,https://www.linkedin.com/company/state-compensation-insurance-fund/people/ 
Pennsylvania State Workers Insurance,https://www.linkedin.com/company/state-workers-insurance-fund/people/ 
American Family,https://www.linkedin.com/company/american-family-insurance/people/ 
Gore Mutual,https://www.linkedin.com/company/gore-mutual-insurance/people/
EMC,https://www.linkedin.com/company/emc-insurance-companies/people/ 
The Cooperators,https://www.linkedin.com/company/the-co-operators/people/ 
Silicon Valley Insuretech Startup,https://www.linkedin.com/company/silicon-valley-insurance-accelerator/people/ 
Amica Mutual,https://www.linkedin.com/company/amica-mutual-insurance-co/people/ 
MACIF,https://www.linkedin.com/company/macif/people/ 
TD Insurance,https://www.linkedin.com/company/td-insurance/people/ 
iCare,https://www.linkedin.com/company/icare-com/people/
Nationwide,https://www.linkedin.com/company/nationwide/people/
Grinnell Mutual,https://www.linkedin.com/company/grinnellmutual/people/
MetLife,https://www.linkedin.com/company/metlife/people/ 
AmeriTrust,https://www.linkedin.com/company/ameritrust-group-inc/people/
Core Specialty,https://www.linkedin.com/company/core-specialty-insurance-holdings-inc/people/
Distinguished Programs,https://www.linkedin.com/company/distinguished-programs/people/ 
Great American Insurance,https://www.linkedin.com/company/great-american-insurance/people/
Builders Mutual Insurance,https://www.linkedin.com/company/builders-mutual-insurance-company/people/
Coal Services,https://www.linkedin.com/company/coal-services-pty-ltd/people/
AIG,https://www.linkedin.com/company/aig/people/
The Hartford,https://www.linkedin.com/company/the-hartford/people/ 
Liberty Mutual,https://www.linkedin.com/company/liberty-mutual-insurance/people/ 
MunichRE,https://www.linkedin.com/company/munich-re/people/ 
Berkshire Hathaway Specialty,https://www.linkedin.com/company/berkshire-hathaway-specialty-insurance/people/ 
Westfield,https://www.linkedin.com/company/westfield1848/people/ 
Argo Group,https://www.linkedin.com/company/argo-group-international-holdings-ltd/people/ 
West Bend,https://www.linkedin.com/company/west-bend-mutual-insurance/people/
Progressive,https://www.linkedin.com/company/progressive-insurance/people/
GEICO,https://www.linkedin.com/company/geico/people/
CHUBB,https://www.linkedin.com/company/chubb/people/
State Farm,https://www.linkedin.com/company/state_farm/people/
RSA,https://www.linkedin.com/company/rsa/people/
Erie Insurance,https://www.linkedin.com/company/erie-insurance-group/people/
Irish life,https://www.linkedin.com/company/irish-life-group/people/
Óptima Seguros,https://www.linkedin.com/company/optimasegurospr/people/
American European Insurance Group,https://www.linkedin.com/company/american-european-insurance-group-inc-/people/
RVOS Farm Mutual Insurance Company,https://www.linkedin.com/company/rvos-farm-mutual-insurance-company/people/ 
F&G,https://www.linkedin.com/company/f-&-g/people/
Hansard Global PLC,https://www.linkedin.com/company/hansard/people/
Swiss Re,https://www.linkedin.com/company/swiss-re/people/
CapSpecialty,https://www.linkedin.com/company/capspecialty/people/ 
Protective Insurance,https://www.linkedin.com/company/protectiveinsurance/people/
Heritage Insurance,https://www.linkedin.com/company/heritage-property-&-casualty-insurance/people/
Millers Mutual,https://www.linkedin.com/company/millers-mutual-group/people/
Texas Farm Bureau Insurance,https://www.linkedin.com/company/texas-farm-bureau-insurance-companies/people/
New York State Insurance Fund,https://www.linkedin.com/company/new-york-state-insurance-fund/people/
IMT Group,https://www.linkedin.com/company/imt-insurance/people/
New York Life,https://www.linkedin.com/company/newyorklife/people/
Homesite (Part of AmFam),https://www.linkedin.com/company/homesite-insurance/people/
